"JPIL Farms — Smallholder Farmer Dataset  |  Edo State, Nigeria  |  2022–2024",,,,,,,,,,,,
Farmer ID,Village,Crop Type,Farm Size (ha),Fertilizer Used (kg),Fertilizer Type,Pest Incidence,Land Tenure,Credit Access,Yield Before (kg/ha),Yield After (kg/ha),Yield Change (%),Training Attended
JPF-001,Ogwa,Cassava,0.9,76.1,Correct,Yes,Leased,No,6714,7761,15.6,Yes
JPF-002,Ukhun,Cassava,0.6,41.4,Correct,Yes,Leased,No,4753,5407,13.8,Yes
JPF-003,Idoa,Cassava,1,47.8,Correct,No,Owned,No,4679,5653,20.8,Yes
JPF-004,Ogwa,Cassava,2.7,38.2,Correct,Yes,Owned,No,5892,6810,15.6,Yes
JPF-005,Ukhun,Cassava,1.2,31.6,Correct,Yes,Leased,No,6857,8113,18.3,Yes
JPF-006,Ogwa,Yam,2,74.2,Correct,Yes,Leased,Yes,5362,6166,15,Yes
JPF-007,Idoa,Cassava,3.2,50,Correct,Yes,Owned,No,4727,5387,14,Yes
JPF-008,Ogwa,Cassava,1,64,Correct,Yes,Leased,No,5670,6455,13.8,Yes
JPF-009,Ukhun,Cassava,2.5,35.7,Correct,No,Owned,No,5350,6354,18.8,Yes
JPF-010,Ukhun,Cassava,1.9,77.7,Correct,No,Leased,No,4947,6059,22.5,Yes
JPF-011,Ogwa,Yam,1.4,61.9,Correct,Yes,Leased,No,4848,5676,17.1,Yes
JPF-012,Ukhun,Cassava,2.3,54.4,Correct,Yes,Leased,No,6517,7476,14.7,Yes
JPF-013,Ogwa,Cassava,3.3,34.3,Correct,Yes,Leased,No,6415,7271,13.3,Yes
JPF-014,Ogwa,Cassava,1,56.4,Correct,Yes,Owned,No,6388,7410,16,Yes
JPF-015,Idoa,Yam,3.5,62.5,Correct,Yes,Leased,Yes,4062,4641,14.3,Yes
JPF-016,Ukhun,Yam,2.3,30.4,Correct,No,Leased,Yes,3579,4258,19,Yes
JPF-017,Ogwa,Cassava,1.2,63.4,Correct,Yes,Leased,No,5928,6787,14.5,Yes
JPF-018,Idoa,Cassava,1.1,34.8,Correct,Yes,Leased,No,6323,7277,15.1,Yes
JPF-019,Ukhun,Yam,0.7,66.4,Correct,No,Leased,Yes,4841,5705,17.8,Yes
JPF-020,Ukhun,Cassava,1.3,42.5,Correct,No,Leased,No,5876,6893,17.3,Yes
JPF-021,Ogwa,Yam,3,78.4,Correct,No,Owned,Yes,4714,5576,18.3,Yes
JPF-022,Idoa,Cassava,3.2,38.2,Correct,Yes,Leased,No,6463,7343,13.6,Yes
JPF-023,Ogwa,Yam,3.5,57.8,Correct,No,Leased,No,5922,7135,20.5,Yes
JPF-024,Ogwa,Yam,0.7,45.7,Correct,Yes,Leased,No,4828,5447,12.8,Yes
JPF-025,Ukhun,Yam,0.7,33.4,Correct,No,Leased,No,4924,5932,20.5,Yes
JPF-026,Ukhun,Yam,2.4,51,Correct,Yes,Leased,No,4011,4716,17.6,Yes
JPF-027,Idoa,Cassava,0.9,62.3,Correct,Yes,Owned,No,4523,5248,16,Yes
JPF-028,Ukhun,Cassava,0.7,40.7,Correct,Yes,Owned,No,6698,7753,15.8,Yes
JPF-029,Ogwa,Cassava,2.6,60.6,Correct,No,Owned,Yes,6543,7773,18.8,Yes
JPF-030,Ogwa,Yam,0.8,73.9,Correct,Yes,Owned,No,3889,4475,15.1,Yes
JPF-031,Idoa,Yam,1.1,25.9,Incorrect,Yes,Leased,No,5615,5401,-3.8,No
JPF-032,Idoa,Yam,0.6,18.3,Incorrect,Yes,Owned,Yes,4605,4552,-1.2,No
JPF-033,Ukhun,Yam,0.7,32.1,Incorrect,No,Leased,No,4956,4993,0.7,No
JPF-034,Ukhun,Yam,0.6,19.1,Incorrect,No,Owned,Yes,4395,4545,3.4,No
JPF-035,Ogwa,Cassava,0.8,29.5,Incorrect,No,Leased,No,4886,5113,4.6,No
JPF-036,Ukhun,Yam,3.4,30.3,Incorrect,No,Leased,No,4330,4532,4.7,No
JPF-037,Ogwa,Yam,3.1,30.3,Incorrect,Yes,Owned,Yes,5680,5716,0.6,No
JPF-038,Idoa,Cassava,1.5,30.5,Incorrect,No,Leased,No,5496,5573,1.4,No
JPF-039,Ukhun,Cassava,3.4,17,Incorrect,Yes,Leased,No,5841,5920,1.4,No
JPF-040,Idoa,Yam,1,34.1,Incorrect,Yes,Leased,No,5321,5148,-3.3,No
JPF-041,Ogwa,Cassava,0.8,32.5,Incorrect,Yes,Leased,No,5800,5740,-1,No
JPF-042,Ogwa,Yam,2.7,14.9,Incorrect,Yes,Owned,No,5058,5055,-0.1,No
JPF-043,Idoa,Cassava,2,26.7,Incorrect,Yes,Owned,No,4980,4940,-0.8,No
JPF-044,Ogwa,Cassava,3.2,25.4,Incorrect,Yes,Leased,Yes,5217,5082,-2.6,No
JPF-045,Ogwa,Cassava,1.5,21,Incorrect,No,Leased,No,6900,7154,3.7,No
JPF-046,Ogwa,Cassava,0.8,22.9,Incorrect,Yes,Leased,No,6378,6358,-0.3,No
JPF-047,Ukhun,Cassava,0.9,11.2,Incorrect,No,Leased,No,5639,5889,4.4,No
JPF-048,Ogwa,Cassava,1.1,27.4,Incorrect,Yes,Leased,No,4514,4444,-1.6,No
JPF-049,Ukhun,Cassava,2.8,15.5,Incorrect,No,Owned,No,5894,6164,4.6,No
JPF-050,Ukhun,Yam,1.9,30,Incorrect,No,Owned,No,5875,6137,4.5,No
